09:26:45.935586  In 00:0c:29:29:d9:ce > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.71 tell 10.1.0.170
09:26:50.931292  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:50.933873  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:50.933883  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:51.014314  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:51.014375 Out 00:10:db:ff:10:00 > 00:0c:29:38:00:19, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:51.015003  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:51.016388  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:51.023729  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:51.023738  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:51.023744  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:51.023781 Out 00:10:db:ff:10:00 > 00:0c:29:38:00:19, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:51.209694 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:51.213724  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:51.413432  In 00:50:56:84:71:98 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.119 tell 10.1.0.131
09:26:51.413989  In 00:50:56:84:71:98 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.119 tell 10.1.0.131
09:26:51.482002  In 52:54:00:c8:b6:b0 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.90
09:26:51.482063 Out 00:10:db:ff:10:00 > 52:54:00:c8:b6:b0, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:51.533867  In 52:54:00:c8:b6:b0 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.90
09:26:51.533916 Out 00:10:db:ff:10:00 > 52:54:00:c8:b6:b0, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:51.628660 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.250 tell 10.1.0.254
09:26:51.633662  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.250 tell 10.1.0.254
09:26:51.789634  In 00:50:56:84:84:af > 00:10:db:ff:10:00, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 (00:10:db:ff:10:00) tell 10.1.0.80
09:26:51.789697 Out 00:10:db:ff:10:00 > 00:50:56:84:84:af, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:51.886741  In 00:50:56:84:71:98 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.130 tell 10.1.0.131
09:26:51.893305  In 00:50:56:84:71:98 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.130 tell 10.1.0.131
09:26:51.932779  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:51.932853  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:51.933219  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 tell 10.1.0.141
09:26:51.933227  In 00:0c:29:38:00:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 192.168.5.142 tell 192.168.5.141
09:26:52.023505  In 00:50:56:9e:3d:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.4
09:26:52.023568 Out 00:10:db:ff:10:00 > 00:50:56:9e:3d:23, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:52.025328  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:52.033109  In 00:50:56:9e:3d:23 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.254 tell 10.1.0.4
09:26:52.033119  In 00:0c:29:38:00:19 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.142 (ff:ff:ff:ff:ff:ff) tell 10.1.0.141
09:26:52.033202 Out 00:10:db:ff:10:00 > 00:50:56:9e:3d:23, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp reply 10.1.0.254 is-at 00:10:db:ff:10:00
09:26:52.033702  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:52.043021  In 00:0c:29:fa:56:56 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.151 tell 10.1.0.150
09:26:52.108941 Out 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 46: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:52.153142  In 00:10:db:ff:10:00 > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 60: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.50 tell 10.1.0.254
09:26:52.363223  In 00:0c:29:c8:2b:0f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.70 tell 10.1.0.241
09:26:52.363645  In 00:0c:29:c8:2b:0f > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.70 tell 10.1.0.241
09:26:52.364030  In 00:0c:29:1d:93:1b > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.241 tell 10.1.0.70
09:26:52.373087  In 00:0c:29:1d:93:1b > ff:ff:ff:ff:ff:ff, ethertype 802.1Q (0x8100), length 64: vlan 10, p 0, ethertype ARP, arp who-has 10.1.0.241 tell 10.1.0.70
09:26:52.442549 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 14 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: S 2987750201:2987750201(0) win 65535 <mss 1460,nop,wscale 1,nop,nop,[|tcp]>
09:26:52.443683  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.54022: S 1579118125:1579118125(0) ack 2987750202 win 8192 <mss 1350,nop,wscale 8,sackOK,timestamp 535206256 3711450804>
09:26:52.443787 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: . ack 1 win 32781 <nop,nop,timestamp 3711450805[|tcp]>
09:26:52.444005 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 74 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: P 1:73(72) ack 1 win 32781 <nop,nop,timestamp 3711450805[|tcp]>
09:26:52.455184  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.54022: P 1:61(60) ack 73 win 256 <nop,nop,timestamp 535206258 3711450805>
09:26:52.455508 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 26 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: P 73:97(24) ack 61 win 32781 <nop,nop,timestamp 3711450817[|tcp]>
09:26:52.459541  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.54022: P 61:89(28) ack 97 win 256 <nop,nop,timestamp 535206258 3711450817>
09:26:52.459957 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 14 bytes missing! 10.1.0.254.64826 > 10.1.0.70.135: S 2701900302:2701900302(0) win 65535 <mss 1460,nop,wscale 1,nop,nop,[|tcp]>
09:26:52.461142  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.64826: S 3533553167:3533553167(0) ack 2701900303 win 8192 <mss 1350,nop,wscale 8,sackOK,timestamp 535206258 3711450821>
09:26:52.461242 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.64826 > 10.1.0.70.135: . ack 1 win 32781 <nop,nop,timestamp 3711450823[|tcp]>
09:26:52.461750 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 148 bytes missing! 10.1.0.254.64826 > 10.1.0.70.135: P 1:147(146) ack 1 win 32781 <nop,nop,timestamp 3711450823[|tcp]>
09:26:52.559068 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: . ack 89 win 32781 <nop,nop,timestamp 3711450921[|tcp]>
09:26:52.561756  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.64826: P 1:354(353) ack 147 win 256 <nop,nop,timestamp 535206268 3711450823>
09:26:52.562460 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 448 bytes missing! 10.1.0.254.64826 > 10.1.0.70.135: P 147:593(446) ack 354 win 32781 <nop,nop,timestamp 3711450924[|tcp]>
09:26:52.564437  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.64826: P 354:386(32) ack 593 win 254 <nop,nop,timestamp 535206268 3711450924>
09:26:52.564718 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.64826 > 10.1.0.70.135: F 593:593(0) ack 386 win 32781 <nop,nop,timestamp 3711450926[|tcp]>
09:26:52.564784 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: F 97:97(0) ack 89 win 32781 <nop,nop,timestamp 3711450926[|tcp]>
09:26:52.565657  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.64826: F 386:386(0) ack 593 win 254 <nop,nop,timestamp 535206268 3711450924>
09:26:52.566426  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.64826: . ack 594 win 254 <nop,nop,timestamp 535206269 3711450926>
09:26:52.566505  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.54022: . ack 98 win 256 <nop,nop,timestamp 535206269 3711450926>
09:26:52.566559  In PFE proto 2 (ipv4): 10.1.0.70.135 > 10.1.0.254.54022: F 89:89(0) ack 98 win 256 <nop,nop,timestamp 535206269 3711450926>
09:26:52.566621 Out 00:10:db:ff:10:00 > 00:0c:29:1d:93:1b, ethertype 802.1Q (0x8100), length 68: vlan 10, p 0, ethertype IPv4, truncated-ip - 2 bytes missing! 10.1.0.254.54022 > 10.1.0.70.135: . ack 90 win 32780 <nop,nop,timestamp 3711450928[|tcp]>
